,gene,p,difference,q,subclass
187,AFF3,3.95613480275622e-16,-1.47982388272598,6.72579889691013e-14,1
245,AKR1C1,3.92735297190754e-18,-2.86906395126245,1.1907079651995e-15,1
246,AKR1C2,1.70690117403014e-16,-3.21934900521161,3.33873540395508e-14,1
259,ALDH3A1,5.10702579005432e-22,-3.18103580575081,3.90452930734735e-19,1
304,AMIGO2,2.64463437909656e-16,1.12943468646019,4.7165239206025e-14,1
373,ANKS4B,3.60274605175265e-18,-3.02920164915253,1.12995781771435e-15,1
470,ARHGAP20,9.1141450052727e-20,1.47098273891411,4.25116440489527e-17,1
639,AVPI1,1.52129643251721e-29,-0.992686487661695,1.38369517019603e-25,1
707,BCL10,2.39002674790687e-16,0.546895742543827,4.30465114566078e-14,1
760,BMP6,7.42568269373533e-18,-1.46902733921689,2.04667566487484e-15,1
804,BTG1,8.30759377087862e-21,-0.70581318664436,4.72260744643916e-18,1
819,C10ORF108,2.53214374831979e-21,-2.26000179826105,1.53540756418951e-18,1
829,C10ORF55,3.1482415641064e-17,1.28702430832287,7.43761847956617e-15,1
848,C11ORF53,4.97457583725499e-18,-2.51503477812745,1.39219244700778e-15,1
1215,C6ORF176,5.79909206286797e-24,-3.78871442673581,6.59320523222695e-21,1
1257,C7ORF70,4.82525563845569e-26,0.64989260227112,7.97965684719522e-23,1
1318,CA8,5.70127197719704e-20,-2.51945998581784,2.72925890887346e-17,1
1322,CABLES1,7.53722994318373e-16,-0.994992994546347,1.22362958044941e-13,1
1342,CALCA,2.6058097288842e-18,-3.66652113628014,8.4646937103808e-16,1
1403,CATSPER1,2.04549607468207e-26,2.22773932800952,4.65120238681769e-23,1
1521,CCM2,4.62228014482426e-18,0.712809112285095,1.32066992581016e-15,1
1610,CDH3,2.9104212436167e-17,1.4460478712642,6.96624642666203e-15,1
1722,CHPT1,7.88998334213389e-17,-0.84098593842894,1.75032545093607e-14,1
1750,CHSY3,2.3050272726413e-20,1.024517396305,1.1980214604748e-17,1
1796,CLEC5A,2.14583219300538e-17,1.32675125896615,5.34723745520012e-15,1
1829,CMTM3,4.60349907618042e-26,0.941748824154041,7.97965684719522e-23,1
1879,COL11A1,9.08431031324492e-22,2.84728876068186,6.61010755632953e-19,1
1890,COL25A1,5.1513772401922e-22,-2.83240254067455,3.90452930734735e-19,1
1951,CPLX2,2.9120975842875e-22,-3.62674171047481,2.6486983577887e-19,1
1960,CPS1,2.57805134463e-17,-2.50858167317654,6.25297760135524e-15,1
1966,CRABP2,5.80873610461343e-28,2.42339935705079,2.64166796197557e-24,1
2038,CST6,7.48634773622827e-34,2.59244170756643,1.36184151669728e-29,1
2053,CTHRC1,9.5985029644329e-17,1.17969765911007,2.05419255795293e-14,1
2162,DACT2,1.83807583433575e-21,-3.28707545720731,1.19415848222863e-18,1
2189,DCBLD2,9.77327063222918e-16,1.16372670430233,1.50665733958374e-13,1
2197,DCLRE1B,7.81015294258887e-17,0.48162428365089,1.75032545093607e-14,1
2228,DEFB1,6.40603246952902e-16,-2.52452267709152,1.05938306048366e-13,1
2384,DPY19L1,3.45556953109173e-22,0.939974358247893,2.85728478818589e-19,1
2425,DUOXA2,9.9146408707709e-16,-1.62597122231729,1.51560699227053e-13,1
2441,DUSP4,1.83101703599548e-19,-1.41294768066736,8.12390997604726e-17,1
2673,ETS2,1.54377791298388e-20,-0.804678520024456,8.50995879245144e-18,1
2749,FAM126A,3.94316054541406e-20,0.998472386876461,1.9925009300452e-17,1
2982,FGA,2.18821291955184e-17,-3.23610824166732,5.37915962426588e-15,1
3012,FIGNL1,4.56335005400926e-20,0.767039335290441,2.24356488736439e-17,1
3110,FRAT1,8.65304665269807e-18,-0.799625753840397,2.34936674118255e-15,1
3111,FRAT2,5.17735290111063e-24,-0.674196028369429,6.2787484416069e-21,1
3136,FURIN,4.52131296855424e-19,-0.822372129092384,1.86925464115841e-16,1
3149,FXYD3,3.4921201030371e-16,-1.82562672261509,5.9929393202215e-14,1
3333,GNA12,3.42879369811271e-22,0.64434157330456,2.85728478818589e-19,1
3390,GPR110,3.56824780157224e-28,2.92677528402911,2.16366652528002e-24,1
3433,GPR87,7.40080599470313e-19,2.61509432609039,2.80475128853426e-16,1
3445,GPSM2,7.60101932773258e-16,0.690729197105405,1.22362958044941e-13,1
3449,GPX2,9.42690577387693e-18,-3.75989510193819,2.48528757873326e-15,1
3493,GSTA1,1.27690997690788e-24,-3.54111664850632,1.6591620992808e-21,1
3494,GSTA2,4.81963696367045e-17,-2.75634406589289,1.12402584623243e-14,1
3651,HMGCS2,1.4668392789493e-17,-2.8680138200815,3.70601018380093e-15,1
3720,HSD17B2,1.01242726764348e-16,-2.36498821576919,2.14151911926774e-14,1
3763,ICAM1,1.68296119988409e-26,1.28440374223249,4.37353531244164e-23,1
